Date,Close,High,Low,Open,Volume
31/08/2022,14850,14869.09961,14820.7002,14850,0
01/09/2022,14855,14905.90039,14836,14855,0
02/09/2022,14902.09961,14910.5,14857.40039,14902.09961,0
05/09/2022,14890,14939,14823.5,14890,0
06/09/2022,14882.2998,14915,14849.5,14882.2998,0
07/09/2022,14904,14961.59961,14880,14904,0
08/09/2022,14865.2998,14919.7002,14862,14865.2998,0
09/09/2022,14892.2998,14900,14806.40039,14892.2998,0
12/09/2022,14823,14890.09961,14805.2002,14823,0
13/09/2022,14858.7002,14948.40039,14831.2002,14858.7002,0
14/09/2022,14954.90039,14980.7998,14868.2998,14954.90039,0
15/09/2022,14915,14951,14871.09961,14915,0
16/09/2022,14933.59961,14997.7998,14891,14933.59961,0
19/09/2022,14946,15002.90039,14934.2002,14946,0
20/09/2022,14985.7998,15043.09961,14508.7002,14985.7998,0
21/09/2022,15008.59961,15039,14908.5,15008.59961,0
22/09/2022,15019,15055.5,14908.2998,15019,0
23/09/2022,15026.59961,15101.5,14957.83008,15026.59961,0
26/09/2022,15031,15183.40039,15031,15031,0
27/09/2022,15204,15213,15043.41016,15204,0
28/09/2022,15167.2002,15319.2998,15116,15167.2002,0
29/09/2022,15175.2998,15282.7002,15142.09961,15175.2998,0
30/09/2022,15175.2002,15279.09961,15172.59961,15175.2002,0
03/10/2022,15221,15362.90039,15221,15221,0
04/10/2022,15290,15309.5,15175.40039,15290,0
05/10/2022,15180,15245,15142.40039,15180,0
06/10/2022,15206.7002,15249,15115.09961,15206.7002,0
07/10/2022,15215.7998,15285.5,15181,15215.7998,0
10/10/2022,15246,15343,15172.90039,15246,0
11/10/2022,15343,15374.7998,15305,15343,0
12/10/2022,15338.5,15390.2002,15330.5,15338.5,0
13/10/2022,15318.59961,15429.09961,15265.7002,15318.59961,0
14/10/2022,15364,15487,15331.59961,15364,0
17/10/2022,15420,15510.7002,15420,15420,0
18/10/2022,15441.40039,15492.5,15428.59961,15441.40039,0
19/10/2022,15466.2002,15536.7998,15448.90039,15466.2002,0
20/10/2022,15620,15620,15516.5,15620,0
21/10/2022,15562,15649.7002,15501.09961,15562,0
24/10/2022,15626,15626,15528.5,15626,0
25/10/2022,15586.5,15634,15510.09961,15586.5,0
26/10/2022,15549,15616,15491.7002,15549,0
27/10/2022,15502.7002,15587,15474.59961,15502.7002,0
28/10/2022,15554.2002,15573.5,15509.7002,15554.2002,0
31/10/2022,15549.2002,15656.7998,15545,15549.2002,0
01/11/2022,15649,15656.2002,15591,15649,0
02/11/2022,15690,15690,15607.7998,15690,0
03/11/2022,15696,15800.5,15630.90039,15696,0
04/11/2022,15780,15780,15591.7998,15780,0
07/11/2022,15609.5,15731,15578,15609.5,0
